Ticker;BuySell;EntryDate;EntryPrice;ExitDate;ExitPrice;Pnl;nContracts;MAE;MFE
DIA;1;19.09.2013 08:59:00;156.925;20.09.2013 08:59:00;155.905;-32.64;32;0;0
DIA;1;26.09.2013 08:59:00;152.735;27.09.2013 08:59:00;152.405;-10.56;32;0;0
DIA;1;01.10.2013 08:59:00;151.655;02.10.2013 08:59:00;151.025;-20.79;33;0;0
DIA;1;02.10.2013 08:59:00;151.035;03.10.2013 12:59:00;150.655;-12.54;33;0;0
DIA;1;04.10.2013 08:59:00;149.755;07.10.2013 08:59:00;149.245;-16.83;33;0;0
DIA;1;17.10.2013 08:59:00;152.695;18.10.2013 11:59:00;153.495;25.6;32;0;0
DIA;1;14.11.2013 09:59:00;158.105;15.11.2013 12:59:00;158.695;18.29;31;0;0
DIA;1;04.12.2013 09:59:00;158.995;05.12.2013 12:59:00;158.895;-3.1;31;0;0
DIA;1;13.12.2013 09:59:00;157.995;16.12.2013 12:59:00;158.395;12.4;31;0;0
DIA;1;10.01.2014 09:59:00;164.655;13.01.2014 12:59:00;164.015;-19.2;30;0;0
DIA;1;22.01.2014 09:59:00;163.485;23.01.2014 09:59:00;162.705;-23.4;30;0;0
DIA;1;23.01.2014 09:59:00;162.715;24.01.2014 11:59:00;160.995;-51.6;30;0;0
DIA;1;04.03.2014 09:59:00;162.855;05.03.2014 09:59:00;163.835;0.98;1;0;0
DIA;1;04.03.2014 09:59:00;162.855;06.03.2014 12:59:00;163.805;28.5;30;0;0
DIA;1;14.03.2014 09:59:00;161.165;17.03.2014 11:59:00;161.315;4.65;31;0;0
DIA;1;09.04.2014 08:59:00;162.855;10.04.2014 12:59:00;163.995;34.2;30;0;0
DIA;1;16.04.2014 08:59:00;163.205;17.04.2014 12:59:00;163.855;19.5;30;0;0
DIA;1;02.05.2014 08:59:00;165.255;05.05.2014 12:59:00;164.075;-35.4;30;0;0
DIA;1;21.05.2014 08:59:00;163.415;22.05.2014 12:59:00;165.055;49.2;30;0;0
DIA;1;23.07.2014 08:59:00;170.815;24.07.2014 09:59:00;170.865;1.45;29;0;0
SPY;-1;24.09.2007 08:59:00;152.405;25.09.2007 08:59:00;151.165;39.68;32;0;0
SPY;-1;27.09.2007 08:59:00;152.845;28.09.2007 11:59:00;152.705;4.48;32;0;0
SPY;-1;11.10.2007 08:59:00;156.995;12.10.2007 08:59:00;155.245;56;32;0;0
SPY;-1;18.10.2007 08:59:00;154.395;19.10.2007 08:59:00;152.965;45.76;32;0;0
SPY;-1;09.11.2007 09:59:00;147.115;12.11.2007 09:59:00;145.665;49.3;34;0;0
SPY;-1;23.11.2007 09:59:00;142.975;26.11.2007 09:59:00;144.845;-65.45;35;0;0
SPY;-1;26.11.2007 09:59:00;144.835;27.11.2007 09:59:00;142.605;75.82;34;0;0
SPY;-1;21.12.2007 09:59:00;147.055;24.12.2007 11:59:00;148.425;-46.58;34;0;0
SPY;-1;25.01.2008 09:59:00;135.765;28.01.2008 09:59:00;132.045;137.64;37;0;0
SPY;-1;27.03.2008 09:59:00;133.945;28.03.2008 09:59:00;133.545;14.8;37;0;0
SPY;-1;28.03.2008 09:59:00;133.535;31.03.2008 08:59:00;131.105;89.91;37;0;0
SPY;-1;02.04.2008 08:59:00;136.225;03.04.2008 09:59:00;136.655;-15.48;36;0;0
SPY;-1;07.04.2008 08:59:00;137.935;08.04.2008 08:59:00;136.305;58.68;36;0;0
SPY;-1;21.05.2008 08:59:00;142.245;22.05.2008 08:59:00;139.665;90.3;35;0;0
SPY;-1;22.05.2008 08:59:00;139.655;23.05.2008 08:59:00;138.985;23.45;35;0;0
SPY;-1;04.06.2008 08:59:00;137.705;05.06.2008 08:59:00;138.545;-30.24;36;0;0
SPY;-1;12.06.2008 08:59:00;134.475;13.06.2008 08:59:00;134.335;5.18;37;0;0
SPY;-1;17.06.2008 08:59:00;136.765;18.06.2008 08:59:00;135.665;39.6;36;0;0
SPY;-1;02.07.2008 08:59:00;128.725;03.07.2008 08:59:00;126.665;80.34;39;0;0
